ID,Strassentyp,Bonitaet,Kaufkraft,Anteil Deutscher,Altersstruktur,Bebauung,Regionaltyp,Status,Bequemer Experte,Treuer Vertreterkunde,Anspruchsvoller Delegierer,Preisorientierter Rationalist,ueberforderter Unterstuetzungssucher,Skeptisch Gleichgueltiger,Distinguiert Konservativer,Gesunder Kraftprotz,Unkritisch Wehleidiger,Skeptischer Verweigere,Informierter Koerperbewusster,Eingeschraenkter Kassenpatient,Konservativer Arztglaeubiger,Aboscore,Sinus-Milieus
12,Mischform,gut,mittel,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,niedrig,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,STA
13,Mischform,gut,mittel,hoch,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,INT
14,Mischform,gut,mittel,hoch,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,STA
15,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
16,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
17,Gewerbestrasse,durchschnittlich,niedrig,mittel,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,STA
18,Gewerbestrasse,durchschnittlich,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,hoch,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
19,Ladenstrasse,durchschnittlich,niedrig,mittel,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,hoch,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
20,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
21,Ladenstrasse,durchschnittlich,niedrig,mittel,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,hoch,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,INT
22,Wohnstrasse,durchschnittlic,niedrig,hoch,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,hoch,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
23,Wohnstrasse,gut,niedrig,mittel,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,STA
24,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,INT
25,Wohnstrasse,gut,niedrig,niedrig,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,hoch,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
26,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
27,Wohnstrasse,gut,niedrig,mittel,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,hoch,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
28,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
29,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,INT
30,Wohnstrasse,gut,niedrig,mittel,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
31,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,1
32,Wohnstrasse,gut,niedrig,mittel,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,hoch,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,ADA
33,Wohnstrasse,gut,niedrig,mittel,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,hoch,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
34,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,ETB
35,Wohnstrasse,gut,niedrig,niedrig,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
36,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,hoch,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
37,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,hoch,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
38,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
39,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,STA
40,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
41,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
42,Wohnstrasse,gut,niedrig,mittel,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
43,Wohnstrasse,gut,niedrig,mittel,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
44,Wohnstrasse,gut,niedrig,hoch,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,STA
