ID,Geburtsdatum,Alter,Geschlecht,Familienstand,HatKinder,Zahlmethode,DAUER_Kundenbeziehung,Region,Bundesland,Gebiet,Umsatz_Total,Umsatz_letztes_Quartal,Oekostrom,Fernwaermeabnehmer,Churn
59,1979-02-11,42,M,verheiratet,ja,Ueberweisung,3,Sueddeutschland,Rheinland-Pfalz,Stadt,7976.36,361.488,0,1,Kuendiger
60,1963-11-07,30,F,single,nein,Ueberweisung,10,Norddeutschland,Bremen,Land,3674.07,332.814,0,0,Kunde
61,1982-07-13,40,M,single,nein,Paypal,10,Norddeutschland,Bremen,Stadt,5571.4,296.514,1,0,Kuendiger
62,1981-08-15,69,F,single,nein,Kreditkarte,5,Norddeutschland,Mecklenburg-Vorpommern,Land,4918.89,513.062,1,1,Kunde
63,1963-11-07,39,M,verheiratet,nein,Kreditkarte,3,Norddeutschland,Brandenburg,Stadt,8847.47,208.808,0,1,Kunde
64,1963-11-07,82,F,verheiratet,ja,Kreditkarte,11,Sueddeutschland,Saarland,Stadt,7900.97,188.8266,0,0,Kunde
65,1982-02-11,74,F,single,nein,Kreditkarte,10,Norddeutschland,Mecklenburg-Vorpommern,Stadt,4200.2,77.1804,0,0,Kunde
66,1984-05-23,71,M,verheiratet,ja,Kreditkarte,10,Norddeutschland,Niedersachsen,Land,8066.74,64.4946,0,0,Kuendiger
67,1963-11-07,37,F,verheiratet,ja,Kreditkarte,3,Norddeutschland,Mecklenburg-Vorpommern,Land,8086.98,20.2986,0,0,Kunde
68,1980-06-18,86,M,,ja,Kreditkarte,10,Sueddeutschland,Hessen,Land,253.076,411.702,0,1,Kuendiger
69,1982-02-03,70,M,,ja,Kreditkarte,11,Sueddeutschland,Thueringen,Stadt,6664.92,107.6056,1,0,Kunde
70,1968-08-21,68,M,single,ja,Kreditkarte,9,Norddeutschland,Nordrhein-Westfalen,Stadt,4148.64,56.32,0,1,Kunde
71,1984-01-02,20,M,single,nein,Kreditkarte,3,Sueddeutschland,Baden-Wuerttemberg,Stadt,5963.29,237.142,0,1,Kuendiger
72,1988-02-04,92,F,,nein,Kreditkarte,3,Sueddeutschland,Hessen,Stadt,4739.62,280.91,1,0,Kunde
73,2003-08-23,34,F,verheiratet,ja,Ueberweisung,3,Sueddeutschland,Baden-Wuerttemberg,Land,3367.1,510.094,0,0,Kunde
74,1985-08-07,53,M,,ja,Ueberweisung,8,Sueddeutschland,Bayern,Stadt,3431.76,329.424,1,0,Kuendiger
75,1987-08-29,94,M,,ja,Kreditkarte,11,Sueddeutschland,Sachsen,Stadt,7621.32,220.408,0,0,Kunde
76,1988-09-04,32,F,verheiratet,nein,Kreditkarte,3,Norddeutschland,Schleswig-Holstein,Stadt,5443.02,463.68,1,1,Kunde
77,1988-08-15,77,F,,nein,Kreditkarte,5,Sueddeutschland,Hessen,Stadt,3416.05,467.562,0,0,Kunde
78,1982-01-18,33,M,,ja,Kreditkarte,6,Sueddeutschland,Thueringen,Land,2800.04,292.03,0,1,Kunde
79,1981-05-20,30,F,single,nein,Ueberweisung,11,Norddeutschland,Hamburg,Stadt,4845.76,332.774,0,1,Kunde
80,1988-03-07,18,F,single,nein,Paypal,6,Norddeutschland,Mecklenburg-Vorpommern,Stadt,1169.12,56.32,0,1,Kunde
81,1967-08-23,44,F,single,nein,Kreditkarte,3,Sueddeutschland,Sachsen,Land,1768.92,346.772,0,0,Kunde
82,1987-10-07,97,F,verheiratet,ja,Kreditkarte,,Norddeutschland,Nordrhein-Westfalen,Land,2766.76,433.306,1,0,Kunde
83,1984-03-07,47,M,verheiratet,ja,Kreditkarte,11,Norddeutschland,Nordrhein-Westfalen,Stadt,5403.94,471.076,1,0,Kuendiger
84,1982-04-04,72,M,verheiratet,ja,Kreditkarte,11,Sueddeutschland,Bayern,Land,2215.08,100.2784,1,0,Kunde
85,1981-08-20,80,F,single,ja,Kreditkarte,3,Norddeutschland,Brandenburg,Land,1775.54,388.286,1,0,Kunde
86,1979-10-15,65,F,,nein,Kreditkarte,11,Sueddeutschland,Saarland,Stadt,5762.69,187.7608,0,1,Kunde
87,1982-02-05,25,F,,nein,Ueberweisung,11,Sueddeutschland,Bayern,Stadt,8802.32,56.32,0,0,Kunde
88,1981-06-19,69,M,verheiratet,ja,Paypal,3,Norddeutschland,Hamburg,Stadt,9119.86,237.976,0,0,Kunde
89,1987-02-22,79,M,,nein,Kreditkarte,11,Sueddeutschland,Baden-Wuerttemberg,Land,8781.83,520.072,0,0,Kunde
90,1987-10-30,73,F,,nein,Kreditkarte,3,Sueddeutschland,Sachsen,Land,2383.2,395.6,0,0,Kunde
91,1984-06-20,45,M,verheiratet,ja,Kreditkarte,3,Norddeutschland,Hamburg,Stadt,4194.78,354.688,0,0,Kuendiger
92,1988-02-29,84,M,verheiratet,ja,Ueberweisung,5,Norddeutschland,Hamburg,Land,3414.86,335.446,0,1,Kunde
93,1970-07-30,41,M,verheiratet,ja,Ueberweisung,5,Norddeutschland,Brandenburg,Stadt,8580.43,443.11,1,1,Kunde
94,1988-08-03,32,F,verheiratet,ja,Kreditkarte,5,Sueddeutschland,Thueringen,Land,702.714,283.124,0,0,Kunde
95,2003-08-23,97,F,verheiratet,nein,Kreditkarte,3,Sueddeutschland,Thueringen,Stadt,7585.49,14.456,0,0,Kunde
96,1973-01-13,44,F,,ja,Kreditkarte,11,Norddeutschland,Schleswig-Holstein,Stadt,4955.48,136.6084,0,0,Kunde
97,1976-05-12,72,F,single,nein,Kreditkarte,3,Sueddeutschland,Rheinland-Pfalz,Stadt,5505.05,192.2878,1,1,Kunde
98,1988-07-02,22,F,verheiratet,ja,Ueberweisung,11,Sueddeutschland,Thueringen,Stadt,9584.79,465.834,1,1,Kunde
99,1983-10-20,80,F,,nein,Kreditkarte,3,Norddeutschland,Berlin,Stadt,8661.88,23.6828,0,0,Kuendiger
100,1980-03-09,61,F,verheiratet,ja,Kreditkarte,10,Sueddeutschland,Thueringen,Stadt,7932.47,56.32,0,1,Kunde
101,1983-03-23,91,M,,nein,Kreditkarte,2,Norddeutschland,Bremen,Stadt,6176.67,345.23,0,1,Kuendiger
102,1979-03-12,64,F,,nein,Paypal,11,Norddeutschland,Brandenburg,Stadt,2579.65,415.21,0,0,Kunde
103,1982-10-31,39,F,,nein,Kreditkarte,2,Sueddeutschland,Sachsen,Stadt,3193.13,139.557,0,0,Kunde
104,1986-03-02,26,M,,nein,Ueberweisung,10,Sueddeutschland,Bayern,Stadt,1999.84,358.304,0,0,Kunde
105,1982-07-30,46,F,single,ja,Kreditkarte,2,Sueddeutschland,Rheinland-Pfalz,Land,3443.72,88.9922,1,1,Kunde
106,1980-08-11,79,F,single,ja,Kreditkarte,6,Sueddeutschland,Baden-Wuerttemberg,Stadt,4315.17,242.908,0,0,Kunde
107,2003-08-23,88,F,,ja,Kreditkarte,10,Sueddeutschland,Baden-Wuerttemberg,Stadt,1076.46,74.2844,0,0,Kunde
108,1983-11-05,29,M,verheiratet,ja,Kreditkarte,9,Sueddeutschland,Bayern,Land,2152.91,56.32,0,0,Kuendiger
109,1972-10-24,46,F,verheiratet,nein,Ueberweisung,9,Norddeutschland,Brandenburg,Stadt,9457.62,557.554,0,1,Kunde
110,1960-11-22,88,F,verheiratet,nein,Kreditkarte,9,Sueddeutschland,Sachsen-Anhalt,Stadt,6860.8,252.252,0,0,Kunde
111,1968-06-16,57,F,verheiratet,nein,Kreditkarte,11,Sueddeutschland,Sachsen,Stadt,487.525,559.796,0,0,Kunde
112,1979-10-01,86,M,verheiratet,nein,Kreditkarte,11,Sueddeutschland,Saarland,Land,1271.33,283.048,0,0,Kunde
113,1981-08-20,43,F,verheiratet,ja,Paypal,11,Sueddeutschland,Hessen,Stadt,7702.17,305.41,0,0,Kunde
114,1981-05-07,45,F,,ja,Kreditkarte,9,Sueddeutschland,Baden-Wuerttemberg,Land,4505.71,56.32,0,0,Kunde
115,1982-06-04,82,M,verheiratet,ja,Kreditkarte,5,Norddeutschland,Nordrhein-Westfalen,Stadt,4884.14,145.2076,1,0,Kunde
116,2003-08-23,40,M,single,ja,Kreditkarte,5,Norddeutschland,Nordrhein-Westfalen,Land,3337.39,587.112,0,0,Kunde
117,1984-02-28,36,F,single,ja,Kreditkarte,11,Sueddeutschland,Sachsen-Anhalt,Land,9408.33,283.048,0,0,Kuendiger
118,1983-07-18,43,F,single,ja,Kreditkarte,9,Sueddeutschland,Baden-Wuerttemberg,Stadt,2278.16,34.812,0,1,Kuendiger
119,1984-11-07,78,F,verheiratet,ja,Paypal,9,Sueddeutschland,Thueringen,Stadt,1684.07,166.3524,0,0,Kuendiger
120,2003-08-23,42,F,single,ja,Ueberweisung,11,Norddeutschland,Brandenburg,Stadt,6945.88,279.756,1,0,Kunde
121,1985-09-21,50,F,verheiratet,ja,Kreditkarte,11,Sueddeutschland,Rheinland-Pfalz,Land,9682.11,296.124,0,0,Kuendiger
122,1969-04-19,89,M,verheiratet,ja,Kreditkarte,11,Sueddeutschland,Baden-Wuerttemberg,Land,5166.9,468.254,0,0,Kunde
123,1983-05-24,73,F,,ja,Kreditkarte,9,Sueddeutschland,Rheinland-Pfalz,Stadt,523.763,266.49,1,0,Kuendiger
124,1976-08-01,63,M,,ja,Paypal,9,Sueddeutschland,Baden-Wuerttemberg,Stadt,6064.43,187.4562,0,0,Kunde
125,1971-01-16,47,F,,ja,Ueberweisung,11,Sueddeutschland,Sachsen,Stadt,5948.9,67.387,0,0,Kunde
126,1970-08-27,21,M,,ja,Ueberweisung,9,Norddeutschland,Bremen,Stadt,8205.66,106.6882,0,0,Kunde
127,1966-07-20,29,F,,nein,Kreditkarte,5,Sueddeutschland,Sachsen-Anhalt,Land,7996,478.008,0,0,Kunde
128,1979-07-13,70,F,single,nein,Kreditkarte,10,Sueddeutschland,Baden-Wuerttemberg,Stadt,5838.43,356.842,1,0,Kunde
129,1978-09-01,79,F,single,nein,Ueberweisung,10,Norddeutschland,Bremen,Stadt,809.04,36.3172,0,1,Kunde
130,1982-02-03,40,F,single,nein,Kreditkarte,2,Norddeutschland,Hamburg,Land,8894.39,212.152,1,0,Kunde
131,1973-05-12,68,F,single,ja,Kreditkarte,11,Norddeutschland,Bremen,Stadt,1704.72,62.266,0,1,Kunde
132,1979-09-07,97,F,,nein,Paypal,10,Norddeutschland,Brandenburg,Stadt,8814.64,388.794,0,0,Kunde
133,1961-11-05,87,F,single,nein,Ueberweisung,2,Norddeutschland,Niedersachsen,Land,362.47,253.97,0,0,Kunde
134,1988-05-17,42,F,,nein,Ueberweisung,9,Sueddeutschland,Sachsen-Anhalt,Stadt,5704.22,65.69,0,0,Kunde
135,1959-08-20,67,F,single,nein,Kreditkarte,11,Norddeutschland,Berlin,Stadt,2636.92,50.0454,0,0,Kunde
136,1957-07-07,59,F,single,nein,Ueberweisung,8,Norddeutschland,Brandenburg,Land,4071.45,541.864,0,0,Kunde
137,1967-01-04,52,F,,ja,Ueberweisung,11,Sueddeutschland,Sachsen-Anhalt,Land,7000.24,457.834,0,0,Kunde
138,1989-06-13,80,F,single,nein,Kreditkarte,3,Norddeutschland,Bremen,Stadt,1314.15,367.07,0,0,Kunde
139,1963-11-07,82,F,single,nein,Kreditkarte,5,Norddeutschland,Schleswig-Holstein,Stadt,4945.38,342.65,0,0,Kunde
140,1963-11-07,35,F,single,nein,Ueberweisung,8,Sueddeutschland,Hessen,Stadt,8065.91,519.422,0,0,Kunde
141,1963-11-07,93,F,single,nein,Kreditkarte,6,Sueddeutschland,Sachsen-Anhalt,Stadt,1310.91,447.692,0,0,Kunde
142,1959-08-19,55,F,single,nein,Paypal,11,Sueddeutschland,Thueringen,Land,9170.84,344.316,0,0,Kuendiger
143,1989-08-23,45,F,single,nein,Kreditkarte,9,Sueddeutschland,Bayern,Stadt,9218.71,56.32,0,1,Kunde
144,1984-01-10,61,M,single,ja,Kreditkarte,5,Sueddeutschland,Sachsen-Anhalt,Stadt,2530.32,56.32,0,0,Kuendiger
145,1970-12-28,62,F,single,ja,Kreditkarte,10,Norddeutschland,Nordrhein-Westfalen,Land,1396.54,234.916,0,0,Kunde
146,1956-09-06,68,F,single,ja,Kreditkarte,10,Norddeutschland,Berlin,Stadt,,597.274,0,1,Kunde
147,1979-09-30,67,M,single,ja,Kreditkarte,10,Norddeutschland,Mecklenburg-Vorpommern,Stadt,7831.93,450.852,0,0,Kuendiger
148,1982-06-23,84,F,verheiratet,ja,Ueberweisung,9,Sueddeutschland,Sachsen,Stadt,7746.2,56.32,0,0,Kunde
149,1974-02-28,36,M,single,ja,Ueberweisung,10,Norddeutschland,Berlin,Stadt,3834.81,29.6956,0,0,Kuendiger
150,1974-08-11,41,F,,nein,Paypal,11,Norddeutschland,Schleswig-Holstein,Stadt,3352.09,303.252,0,0,Kunde
151,2003-08-23,89,F,,ja,Ueberweisung,9,Sueddeutschland,Thueringen,Stadt,6222.96,512.574,0,0,Kunde
152,1963-11-07,39,F,,nein,Kreditkarte,5,Norddeutschland,Nordrhein-Westfalen,Stadt,8992.85,321.196,0,0,Kunde
153,1960-06-02,39,F,,nein,Kreditkarte,9,Sueddeutschland,Bayern,Stadt,1856.92,56.32,0,0,Kuendiger
154,1963-11-07,54,F,verheiratet,ja,Paypal,6,Sueddeutschland,Rheinland-Pfalz,Land,6964.16,417.596,1,0,Kunde
155,1963-11-07,36,F,verheiratet,ja,Kreditkarte,9,Norddeutschland,Berlin,Land,4763.91,349.79,0,0,Kunde
156,1987-06-27,84,F,,ja,Kreditkarte,4,Sueddeutschland,Sachsen,Stadt,6036.21,456.468,0,0,Kunde
157,1963-11-07,54,M,,ja,Kreditkarte,4,Sueddeutschland,Thueringen,Land,2353.76,106.6886,0,1,Kunde
158,1971-01-08,94,F,,ja,Kreditkarte,9,Sueddeutschland,Bayern,Stadt,8740.46,432.744,0,0,Kunde
159,1971-08-22,66,M,,ja,Paypal,11,Sueddeutschland,Thueringen,Stadt,7616.14,239.368,0,1,Kuendiger
160,1963-11-07,51,M,,ja,Kreditkarte,9,Sueddeutschland,Thueringen,Stadt,6488,399.612,0,0,Kunde
161,1981-05-20,18,M,,ja,Paypal,11,Sueddeutschland,Sachsen,Stadt,8770.8,139.8566,0,0,Kuendiger
162,1985-11-05,43,F,,ja,Ueberweisung,9,Sueddeutschland,Rheinland-Pfalz,Stadt,8625.28,29.3808,0,1,Kuendiger
163,1985-08-08,78,F,single,nein,Kreditkarte,10,Norddeutschland,Berlin,Stadt,2644.98,591.092,0,1,Kuendiger
164,1963-11-07,23,F,single,ja,Kreditkarte,11,Sueddeutschland,Thueringen,Stadt,4816.2,251.966,0,0,Kunde
165,1962-07-07,53,M,verheiratet,ja,Paypal,9,Norddeutschland,Brandenburg,Stadt,7639.4,231.366,0,0,Kuendiger
166,2003-08-23,87,F,verheiratet,ja,Kreditkarte,8,Norddeutschland,Mecklenburg-Vorpommern,Stadt,5923.28,56.32,1,0,Kunde
167,1982-04-18,49,M,verheiratet,ja,Paypal,11,Norddeutschland,Bremen,Land,4581.87,56.32,0,0,Kunde
168,1985-05-18,56,F,verheiratet,ja,Kreditkarte,9,Norddeutschland,Mecklenburg-Vorpommern,Stadt,4955.39,598.874,0,1,Kuendiger
169,1963-11-07,83,M,verheiratet,ja,Paypal,9,Norddeutschland,Mecklenburg-Vorpommern,Land,6533.02,338.442,0,1,Kunde
170,2003-08-23,27,F,,nein,Kreditkarte,5,Norddeutschland,Mecklenburg-Vorpommern,Stadt,5029.07,56.32,0,1,Kunde
171,1973-06-08,48,M,verheiratet,ja,Ueberweisung,9,Norddeutschland,Hamburg,Stadt,6900.56,442.51,0,0,Kuendiger
172,1970-01-10,41,F,single,nein,Ueberweisung,9,Norddeutschland,Mecklenburg-Vorpommern,Land,392.043,241.184,0,1,Kuendiger
173,2003-08-23,66,F,verheiratet,ja,Kreditkarte,9,Sueddeutschland,Rheinland-Pfalz,Land,6723.94,257.848,0,0,Kunde
174,1963-11-07,33,M,,ja,Ueberweisung,4,Sueddeutschland,Saarland,Land,7887.75,249.298,0,0,Kunde
175,1982-09-30,19,M,single,nein,Kreditkarte,9,Norddeutschland,Niedersachsen,Stadt,2081.85,182.7424,1,0,Kunde
176,1982-08-06,93,M,,nein,Kreditkarte,9,Sueddeutschland,Saarland,Stadt,7651.13,433.78,1,0,Kunde
177,1958-01-12,73,F,,ja,Kreditkarte,11,Norddeutschland,Nordrhein-Westfalen,Stadt,8460.14,354.122,1,0,Kunde
178,1985-01-14,23,M,verheiratet,ja,Kreditkarte,9,Norddeutschland,Berlin,Stadt,2445.76,213.806,0,1,Kuendiger
179,1980-01-18,55,F,single,ja,Kreditkarte,9,Sueddeutschland,Sachsen-Anhalt,Land,2508.06,205.776,1,1,Kunde
180,1958-12-30,78,M,,ja,Kreditkarte,9,Norddeutschland,Niedersachsen,Stadt,8069.31,452.136,0,0,Kunde
181,1963-03-03,19,F,single,ja,Kreditkarte,3,Norddeutschland,Berlin,Stadt,9020.56,56.32,0,1,Kunde
182,1980-02-25,77,F,verheiratet,ja,Kreditkarte,4,Sueddeutschland,Sachsen-Anhalt,Land,2927.78,325.024,0,0,Kunde
183,1984-10-31,56,F,,nein,Kreditkarte,11,Sueddeutschland,Bayern,Land,9853.33,332.992,0,0,Kuendiger
184,2003-08-23,47,M,verheiratet,ja,Kreditkarte,8,Sueddeutschland,Sachsen,Land,8474.37,35.2066,0,1,Kunde
185,1984-07-01,77,M,,ja,Kreditkarte,11,Norddeutschland,Bremen,Stadt,1702.16,564.72,0,0,Kuendiger
186,1983-07-24,97,M,single,nein,Kreditkarte,5,Sueddeutschland,Sachsen,Land,914.827,598.964,0,0,Kuendiger
187,2003-08-23,64,M,single,nein,Kreditkarte,11,Norddeutschland,Bremen,Land,3651.09,36.9842,0,0,Kunde
188,1970-03-23,220,F,single,nein,Ueberweisung,11,Sueddeutschland,Bayern,Stadt,8127.11,208.05,0,0,Kunde
189,1962-07-07,21,M,single,nein,Kreditkarte,4,Sueddeutschland,Sachsen-Anhalt,Stadt,1592.42,65.69,0,0,Kuendiger
190,1951-10-18,77,M,,nein,Kreditkarte,5,Sueddeutschland,Baden-Wuerttemberg,Stadt,7385,269.08,0,0,Kunde
191,1969-10-04,32,M,single,ja,Paypal,11,Norddeutschland,Nordrhein-Westfalen,Stadt,5416.49,264.998,0,0,Kuendiger
192,1986-07-17,35,F,,nein,Kreditkarte,11,Norddeutschland,Nordrhein-Westfalen,Land,5096.89,368.434,1,0,Kunde
193,1958-04-05,20,F,verheiratet,nein,Ueberweisung,4,Sueddeutschland,Sachsen,Stadt,4304.64,348.102,0,1,Kunde
194,1975-11-01,58,M,,nein,Kreditkarte,3,Sueddeutschland,Thueringen,Stadt,6133.48,167.5404,0,1,Kunde
195,1966-02-26,58,M,single,nein,Paypal,11,Norddeutschland,Berlin,Stadt,3298.16,491.91,0,1,Kunde
196,1982-09-26,31,F,verheiratet,nein,Kreditkarte,9,Sueddeutschland,Saarland,Stadt,8238.82,343.002,0,0,Kunde
197,1972-03-12,34,F,single,ja,Kreditkarte,9,Sueddeutschland,Sachsen,Stadt,9085.69,459.606,0,0,Kunde
198,1978-01-28,38,M,,ja,Paypal,9,Sueddeutschland,Hessen,Stadt,5053.58,56.32,0,1,Kuendiger
199,1963-11-07,39,M,verheiratet,ja,Kreditkarte,9,Norddeutschland,Nordrhein-Westfalen,Stadt,11.0284,47.9032,0,0,Kunde
200,1975-05-03,63,F,single,nein,Paypal,6,Sueddeutschland,Sachsen,Land,8879.15,56.32,0,0,Kunde
201,1983-03-12,61,F,,ja,Paypal,9,Norddeutschland,Bremen,Stadt,3253.39,371.012,0,0,Kuendiger
